Sr.No,Main Code,Sub Code,Name of Establishment,Address,City,Date of Applicability of Act,Beat
1,BOA03399, 000,4-SEASONS ENTERPRSIES ,41-INDUSTRIAL ESTATE PHASE 1 ,MULTAN,01-JUL-21,A
2,AAE02719,BO087,A.Q MAN POWER (PVT) LTD( C/O MCR PIZZA HUT CANTT.),"NEAR CHAMAN ZAR ASKARI , SHER SHAH ROAD",MULTAN,01-JAN-17,A
3,BOA01044, 000,AAA DOUBLERS (PVT) LTD,PLOT-86 A & B INDUSTRIAL ESTATE ,MULTAN,01-JUL-08,A
4,BOA01769, 000,AAZCO GROUP,7-C INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-10,A
5,BOA03249, 000,AB APPARELS,"HAMIDPUR KANORA ROAD, INDUSTRIAL ESTATE",MULTAN,01-NOV-20,A
6,BOA02317, 000,ABCD WAREHOUSE,21-B INDUSTRIAL ESTATE PHASE-I ,MULTAN,01-JAN-14,A
7,BMA00186,BO001,ABDULLAH HASEEB AGRO CHEMICAL,6-A INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUL-11,A
8,BOA03114, 000,ABDULLAH PACKAGES,322-INDUSTRIAL ESTATE PHASE II,MULTAN,01-NOV-19,A
9,BOA00546, 000,ABRAR FLOUR MILLS PVT LTD,46-B INDUSTRIAL ESTATE MULTAN ,MULTAN,01-DEC-95,A
10,BOA03413, 000,ABUHURAIRA PROTEIN,62-C-1 INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUL-20,A
11,FAA01185,BO010,ACTED,AL QUARISH TOWN HOUSE NO 100 STREET NO 3 SHERSHAH ROAD MULTAN,MULTAN,01-OCT-25,A
12,BOA03270, 000,ADLER AG,"PLOT# 44, INDUSTRIAL ESTATE PHASEII",MULTAN,01-APR-21,A
13,BOA02961, 000,ADNAN BROTHERS SERVICES,"HOUSE NO 03, ST 01 ITEHAD COLONY FOUNDRY ROAD NEAR PSO DEPOT KOTLAKPAT",LAHORE,01-JUN-18,A
14,BOA01126, 000,AFZAL MEDICARE,GARDEN TOWN SHER SHAH ROAD,MULTAN,01-JAN-09,A
15,BOA03522, 000,AG PHARMA,"PLOT#9, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUL-15,A
16,AAF01273,BO006,AGILITY LOGISTICS PVT LTD,PLOT#3 MEHTABI TOWER PHASE 11 INDUSTRIAL ESTATE MULTAN,MULTAN,25-MAR-12,A
17,BOA03018, 000,AGREN PAKISTAN & HELM SEEDS PVT LTD,PLOT NO A/1 SHAH JAHAN CITY BAHAWALPUR BYPASS CHOWK BWP ROAD,MULTAN,01-APR-13,A
18,BOA01811, 000,AGRI FORCE CHEMICALS,INDUSTRTIAL ESTATE PHASE 2 MULTAN,MULTAN,01-FEB-12,A
19,BOA00823, 000,AGRI FORM,79-INDL ESTATE ,MULTAN,26-NOV-02,A
20,BOA01439, 000,AGRI FORM SERVICES PVT LTD,77- INDUSTRIAL ESTATE MULTAN,MULTAN,09-JUN-08,A
21,BOA01975, 000,AGRI PLUS,4-A INDUSTRIAL ESTATE MULTAN,MULTAN,16-JAN-13,A
22,BOA01516, 000,AGRI TOP,77 INDUSTRIAL ESTATE MULTAN,MULTAN,01-OCT-10,A
23,BOA02545, 000,AGRICA CHEMICALS,"62-A, INDUSTRIAL ESTATE",MULTAN,01-JUL-16,A
24,BOA01736, 000,AGRIES INTERNATIONAL(PVT) LTD,33-INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-12,A
25,BOA02832, 000,AGRINAR PAKISTAN,47-B INDUSTRIAL ESTATE PHASE-I,MULTAN,01-SEP-17,A
26,BOA00828, 000,AGRITEC INDS PVT LTD,47-B-I INDL ESTATE ,MULTAN,01-JUL-02,A
27,BOA03045, 000,AGRO FOOD PROCESSING(AFP) FACILITIES MULTAN,"PLOT # 30-33, INDUSTRIAL ESATATE PHASE II ",MULTAN,09-JUL-12,A
28,BOA02501, 000,AGRO PROCESSOR & ATMOSPHERIC GASES LTD,56-58 INDUSTRIAL ESTATE PHASE-I,MULTAN,01-JUL-14,A
29,BOA03832, 000,AGROLIX INTERNATIONAL ,PLOT # 85 PHASE II INDUSTRIAL ESTATE,MULTAN,01-JUN-24,A
30,BOA03234, 000,AGROW LTD,"PLOT # 222, INDUSTRIAL ESTATE PHASE II",MULTAN,01-DEC-20,A
31,BOA02902, 000,AGROW MARK,6-D INDUSTRIAL ESTATE PHASE-I,MULTAN,01-JUL-15,A
32,BOA00538, 000,AHMED TANNERY,PLOT NO 108 INDUSTRIAL ESTATE MULTAN ,MULTAN,01-AUG-95,A
33,BOA00508, 000,AKHTAR INDUSTRIES PVT LTD,39 INDUSTRIAL ESTATE ,MULTAN,01-SEP-93,A
34,BOA01191, 000,AKHTAR PETROLIUM SERVICE,NEAR NAWAB HOTEL MUZAFFARGAHR ROAD,MULTAN,01-JUL-08,A
35,AAB01666,BO001,AL GHAZI TRACTORS LIMITED,20 INDUSTRIAL ESTATE NEAR MILL NO 4 MULTAN ,MULTAN,25-SEP-83,A
36,BOA03850, 000,AL HAMD AND CO.,"PLOT NO. 08, PHASE - II, INDUSTRIAL ESTATE",MULTAN,15-SEP-24,A
37,BOA02162, 000,AL HASSAN FILLING STATION (ADMORE),MUZAFFARGARH BY PASS ROAD OUTSIDE INDUSTRIAL ESTATE,MULTAN,01-JAN-12,A
38,BOA00568, 000,AL JEHAN FLOUR MILLS PVT LTD,INDUSTRIAL ESTATE ROAD ,MULTAN,01-JAN-95,A
39,BOA01732, 000,AL KARAM CHIP BOARD,62-C III INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUN-11,A
40,BOA03903, 000,AL KHAN CATERING COMPANY PVT LTD,"C/O COC COLA, INDUSTRIAL ESTATE",MULTAN,01-JAN-25,A
41,BOA01486,BO001,AL MADINA PACKAGES,PLOT NO. 22 INDUSTRIAL ESTATE PHASE-II,MULTAN,01-DEC-13,A
42,BOA02251, 000,AL MAJLIS EVENT & CONVENTION CENTRE,INDUSTRIAL ESTATE ROAD NADIRABAD PHATAK,MULTAN,01-SEP-14,A
43,BOA01225, 000,AL NAFAHAY CNG STATION,NEAR MIANWALI HOTEL MUZAFFARGHAR ROAD,MULTAN,01-JAN-09,A
44,BOA01048, 000,AL NOOR CHIPBOARD INDUSTRIES,31-INDUSTRIAL ESTATE PHASE-I,MULTAN,01-JUL-08,A
45,BOA02502, 000,AL NOOR PACKAGES,23 INDUSTRIAL ESTATE PHASE-II,MULTAN,01-JAN-15,A
46,BOA01971, 000,AL QAIM INDUSTRIES,4-A-1 PHASE 1 INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUN-12,A
47,BOA02747, 000,AL REHMAN INDUSTRIES,79 INDUSTRIAL ESTATE PHASE II ,MULTAN,01-JAN-17,A
48,BOA02704, 000,AL WARIS INDUSTRIES (PVT) LTD.,"62-B, INDUSTRIAL ESTATE",MULTAN,01-MAR-17,A
49,BOA02469, 000,AL-AHAD OIL AND FEED INDUSTRY,9-A INDUSTRIAL ESTATE PHASE-I,MULTAN,01-NOV-14,A
50,BOA03282, 000,AL-FATEH WAREHOUSE,"PLOT#307, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUL-21,A
51,BOA03642, 000,AL-HADI & BROTHERS,"34K, NAIMAT STREET, GARDEN TOWN",MULTAN,01-AUG-23,A
52,BOA03103, 000,AL-HAMD PETROLEUM SERVICE,ASKARI BY-PASS ROAD NEAR PC HOTEL,MULTAN,01-JUL-19,A
53,FAA01719,BO001,AL-HAMD-O-LILLAH FOODS (1969 & TIME GOES ON..),"C/O COCA COLA PLANT, INDUSTRIAL ESTATE ",MULTAN,01-NOV-23,A
54,BOA00955, 000,AL-KHAIR FLOUR MILLS,BASTI MUHAMMAD PURA HAMID PUR KANORA SHER SHAH BY-PASS ,MULTAN,01-JUL-05,A
55,BOA03631, 000,AL-KHAN CATERING COMPANY,"C/O COCA COLA, INDUSTRIAL ESTATE",MULTAN,01-MAY-23,A
56,BOA00866, 000,ALI AKBAR ENTERPRISES PVT LIMITED,"PLOT # 133/B, INDUSTRIAL ESTATE, PHASE II, MULTAN",MULTAN,27-NOV-02,A
57,BOA01634, 000,ALI PACKAGES PVT. LTD.,Plot No 51 Phase II Industrial Estate Multan,MULTAN,01-JAN-10,A
58,BOA00975, 000,ALI RAZA INDUSTRIES (PVT) LTD,F-4 INDUSTRAL ESTATE ,MULTAN,01-FEB-06,A
59,BIA00878,BO003,ALLIED ENGG SERVICES (PVT) LTD,opposite industrial estate phase ii sher shah by pass road,MULTAN,01-SEP-02,A
60,BOA03360, 000,ALLIED GUM INDUSTRIES,25-A III INDUSTRIL ESTATE MULTAN,MULTAN,01-JAN-22,A
61,BOA02160, 000,ALLIED SCHOOL (GARDEN TOWN CAMPUS),144-A NEAR TAQWA MASJID TAUNSA STREET SHER SHAH ROAD,MULTAN,01-JAN-13,A
62,BOA02838, 000,ALLURE CHEMICALS,326-AL QURESH COLONY PHASE-1 SHER SHAH ROAD ,MULTAN,01-JAN-17,A
63,BOA02959, 000,ALM PROFESSIONAL SERVICES PVT LTD,PCSIR PHASE II SUIT 09 COMMERCIAL CENTER LAHORE 2ND FLOOR,LAHORE,01-JUN-18,A
64,BOA01667, 000,ALMAIDA RESTAURANT,SHERSHAH BY PAS ROAD MULTAN,MULTAN,01-JUN-10,A
65,BOA02839, 000,ALPHA EDUCATORS SCHOOL,AL QURESH PHASE-II SHER SHAH ROAD,MULTAN,01-JAN-17,A
66,BOA02904, 000,ALWAYS BEST CONES (PVT),"PLOT # 294, INDUSTRIAL ESTATE PHASE II, MULTAN",MULTAN,01-MAY-18,A
67,BOA02500, 000,AMEER PATIENT CARE,NADIRABAD PHATAK SHER SHAH ROAD ,MULTAN,01-JAN-16,A
68,BOA02849, 000,AMFAH ADVERTISING ,NEAR NADIRABAD PHATAK INDUSTRIAL ESTATE ROAD,MULTAN,01-JAN-17,A
69,BOA03851, 000,AMIR CRISPO,"241 - C, PHASE - II, INDUSTRIAL ESTATE",MULTAN,01-OCT-24,A
70,BOA02024, 000,ANC FOODS,PLOT 134 TO 137 PHASE 2 INDUSTRIAL ESTATE MULTAN,MULTAN,12-DEC-12,A
71,FAA00720,BO002,AQSA SECURITY GUARDS PVT LTD,AL-ZEB House No.161-a TOUNSA HOUSE ROAD GARDEN TOWN ,MULTAN,04-MAY-99,A
72,BOA02632, 000,AREAA-BANU MUKHTAR J.V (A-BM JV),"COCA COLA WARE HOUSE PROJECT, INDUSTRIAL ESTATE PHASE II",MULTAN,01-FEB-17,A
73,BOA02826, 000,ARMY PUBLIC JUNIOR SCHOOL,FORT COLONY MULTAN CANTT,MULTAN,01-APR-18,A
74,BOA02828, 000,ARMY PUBLIC SCHHOL & COLLEGE (BOYS),SCHOOL ROAD MULTAN CANTT,MULTAN,01-APR-18,A
75,BOA02827, 000,ARMY PUBLIC SCHHOL & COLLEGE (GIRLS),SCHOOL ROAD MULTAN CANTT,MULTAN,01-APR-18,A
76,BOA01851, 000,ARRAHMA HOSPITAL,NEAR NADRABADPHTAK INDUSTRIAL ESTATE MULTAN,MULTAN,01-NOV-10,A
77,BOA02341, 000,ARY PESTICIDES,41-B PHASE-I INDUSTRIAL ESTATE,MULTAN,01-JUL-14,A
78,BOA03878, 000,ASGHAR ALI,"PLOT # 104 - PHASE -II, INDUSTRIAL ESTATE, MULTAN.",MULTAN,01-JAN-25,A
79,BOA03877, 000,ASHRAF ALI,"PLOT # 105, PHASE -II, INDUSTRAL ESTATE, MULTAN.",MULTAN,01-JAN-25,A
80,BOA01946, 000,ASHRAF OIL MILL,MUZAFFAR GARH SHERSHAH BY PASS ROAD MULTAN,MULTAN,01-JAN-12,A
81,BOA00517, 000,ASIA POULTRY FEEDS,61 D INDUSTRIAL ESTATE MULTAN ,MULTAN,01-DEC-94,A
82,BOA03861, 000,ASIA POULTRY FEEDS (PVT) LTD.,"INSIDE ASIA FEED, 61-D, INDUSTRIAL ESTATE",MULTAN,01-NOV-24,A
83,BOA00786, 000,ASKARI VISION PETROLIUM SERVICE,SHER SHAH BY-PASS MUZAFARGARH ROAD ,MULTAN,09-JUN-01,A
84,BOA03755, 000,ASTRAL NEUTRACEUTICALS,"PLOT# 278, INDUSTRIAL ESTATE PHASE II",MULTAN,01-FEB-24,A
85,BOA03613, 000,ATIQUE WAREHOUSE,"PLOT# 253, 254 & 282, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JAN-23,A
86,BOA01065, 000,ATTA CHEMICALS (PVT) LTD,5C INDUSTRIAL ESTATE ,MULTAN,01-JAN-08,A
87,BOA03233, 000,ATTA FOODS,"PLOT#318, INDUSTRIAL ESTATE PHASE # 2",MULTAN,01-DEC-20,A
88,BIB01633,BO001,AURIGA CHEMICALS ENTERPRISES,plot no. 256/279 phase-ii industrial estate,MULTAN,01-MAY-05,A
89,BOA03219, 000,AWN PET BOTTLE PACKAGES (SMC) PVT LTD,"PLOT #314, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUN-20,A
90,BOA00677, 000,Arysta lifescience PAKISTAN PVT LTD,PLOT NO. 2-A ROOMI COTTON FACTORY INDUSTRIAL ESTATE ,MULTAN,01-APR-01,A
91,BOA01961, 000,BABER SAEED ENTERPRISES,15-A PHASE 1 INDUSTRIAL ESTATE MULTAN,MULTAN,01-AUG-12,A
92,BIB01847,BO001,BAHRIA FOUNDATION COLLEGE,147-CB GARDEN TOWN ,MULTAN,01-JAN-04,A
93,BIA00165,BO015,BANU MUKHTAR CANTRACTOR PVT LTD,ASKARI PHASE II SHERSHAH ROAD MULTAN,MULTAN,01-OCT-13,A
94,BOA02369, 000,BAR B Q TONIGHT,ADJACENT CHAMAN ZAAR ASKARI MULTAN CANTT,MULTAN,01-JAN-15,A
95,BOA02758, 000,BARCELOS AND CHINA GRILL,"CHAMAN ZAR ASKARI CHOWK, SHER SHAH ROAD",MULTAN,30-NOV-17,A
96,BOA03615, 000,BASEL PHARMACEUTICALS,"PLOT#227, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JAN-23,A
97,BOA03731, 000,BASHIR INDUSTRIES,"PLOT # 3A-II, INDUSTRIAL ESTATE PHASE I",MULTAN,01-JUL-23,A
98,BOA03806, 000,BASSAM INDUSTRIES PVT LTD,"PLOT# 285, 286, INDUSTRIAL ESTATE PHASE II",MULTAN,01-MAR-23,A
99,BIA01185,BO065,BEACON HOUSE SCHOOL SYSTEM,2-3 SHER SHAH ROAD NEAR FWO OFFICE MULTAN CANTT,MULTAN,01-SEP-09,A
100,BOA01168, 000,BELAY DA DERA,OPP NAWAB HOTEL SHER SHAH ROAD,MULTAN,01-JAN-10,A
101,BOA01770, 000,BELIEVERS INTERNATIONAL,PLOT85 87 INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-12,A
102,BOA00507, 000,BIO FINE PHARMA,74 INDUSTRIAL ESTATE ,MULTAN,01-APR-94,A
103,BOA03381, 000,BIO FORCE CHEMICALS,PLOT # 03 NEAR TOTAL PARCO OFFICE INDUSTRIAL ESTATE ,MULTAN,01-JAN-22,A
104,BOA02724, 000,BIO TRACK ENTERPRISES,"353-H, ST.#14, AL-QURESH HOUSING SOCIETY, PHASE I, SHER SHAH ROAD",MULTAN,01-SEP-17,A
105,BOA00675,BO003,BLOOMFIELD TODDLERS ASKARI BYPASS CAMPUS,ASKARI BYPASS ROAD OPPOSITE NISHAT COLLEGE,MULTAN,01-JAN-18,A
106,BOA01635, 000,BOARD OF MANAGEMENT INDUSTRIAL ESTATE MULTAN,OFFICE BLOCK MULTAN INDUSTRIAL ESTATE ,MULTAN,01-NOV-03,A
107,BOA01771, 000,BRITISH INTERNATIONAL SCHOOL (Al-Khaliq Campus),GARDEN TOWN SHER SHAH RD MULTAN,MULTAN,01-JAN-11,A
108,BOA02315, 000,BROOKLYN EDUCATION SYSTEM,SHER SHAH ROAD NEAR INDUSTRIAL ESTATE,MULTAN,01-JAN-14,A
109,BOA03520, 000,CERTUS SEEDS PVT LTD,"PLOT#9, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUL-16,A
110,BOA02223, 000,CHENAB MANAGEMENT LIAISON,Sher Shah Road multan,MULTAN,08-SEP-14,A
111,BOA00656, 000,CHICAGO METAL WORKS,8C/1B INDUSTRIAL ESTATE ,MULTAN,01-JAN-00,A
112,BOA03778, 000,CHOUDARY SERVICES PVT LTD,PLOT # 126-A PHASE II INDUSTRIAL ESTATE ,MULTAN,01-MAY-24,A
113,BOA02948, 000,CHOUDDHARY MARRIAGE CLUB,GARDEN TOWN MULTAN,MULTAN,01-JAN-18,A
114,BOA03865,BO005,CHRONOS OUTSOURCING SOLUTIONS ,OFFICE NO.16 SECOND FLOOR ABDUL RASHEED MOBILE CENTRE KETCHERY ROAD ,MULTAN,01-JUL-25,A
115,BOA02115, 000,CLEANING SOLUTIONS PVT. LTD.,PLOT 21 42 PHASE-II INDUSTRIAL ESTATE,MULTAN,01-FEB-14,A
116,BOA02015, 000,CLOOVER FIELD SCHOOL SYSTEM,GARDEN TOWN SHER SHAH RD MULTAN,MULTAN,07-JAN-13,A
117,BOA00649, 000,COCA COLA BEVERAGES PAKISTAN LTD,"Plot # 141-148, 163-170 INDUSTRIAL estate PHASE-II",MULTAN,19-JAN-00,A
118,AIF00036,BO008,COLGATE PALMOLIVE PAKISTAN LIMITED,PLOT NO. 2 A ROOMI COTTON FACTORY INDUSTRIAL ESTATE,MULTAN,01-JAN-19,A
119,BIA00065,BO002,COLONY TEXTILE MILLS LTD,ISMAILABAD MULTAN ,MULTAN,01-JUL-76,A
120,BOA03523, 000,COMBARGO,"PLOT # 9, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUL-15,A
121,BOA00853, 000,COMMANDAR AGRO PVT LTD,5-A & B INDUSTRIAL ESTATE ,MULTAN,26-NOV-02,A
122,POA00004, 000,CONIMPEX BREEDING FARM NO 2,NEAR TUFAILABAD INDUSTRIAL ESTATE ROAD ,MULTAN,17-SEP-02,A
123,BOA00301, 000,CRYSTAL AGRO FEED INDUSTRY PVT LTD,12 INDUSTRIAL ESTATE MULTAN. ,MULTAN,01-MAR-86,A
124,BOA02550, 000,CSCEC PAKISTAN (SUKKUR-MULTAN SECTION) PROJECT,"HOUSE #30, STREET # 02, PC COLONY",MULTAN,01-JUL-16,A
125,BOA02987, 000,DAILY CHEMICALS (SMC-PVT) LTD,PLOT NO. 102 INDUSTRIAL ESTATE PHASE 2 ,MULTAN,01-JAN-18,A
126,BOA02316, 000,DAR-E-ARQAM SCHOOL (ABDULLAH CAMPUS),AL QURAISH HOUSING SCHEME PHASE-I SHER SHAH ROAD,MULTAN,01-JAN-14,A
127,BOA03674, 000,DAYBREAK ENGINEERING SERVICES & CONSTRUCTION,"SHOP NO. 1, WAZIR MARKET, MAIN ROAD QASIM BELA",MULTAN,15-OCT-23,A
128,BOA03718, 000,DECENT ENTERPRISES,"HAMIDPUR KANORA ROAD, INDUSTRIAL ESTATE ",MULTAN,01-NOV-23,A
129,BOA03716, 000,DESCON ENGG LTD. C/O PEPSICO MULTAN,"PLOT NO. 149-155, PHASE II INDUSTRIAL ESTATE",MULTAN,01-NOV-23,A
130,BOA03713, 000,DOUBLE CHEEZ ,"SHAFQAT SPORT COMPLEX, NEAR ASKARI JHEEL, SHEER SHAH ROAD ",MULTAN,01-JAN-24,A
131,BOA02339, 000,DREAM GARDENS,ASKARI BY PASS SHER SHAH ROAD MULTAN CANTT,MULTAN,01-MAY-14,A
132,BOA02763, 000,DTM DISTRIBUTORS,OPP CHRISTIAN COLONY KHATKANA ROAD USMAN COLONY MULTAN CANTT,MULTAN,01-JAN-15,A
133,BIA04944,BO008,Dsource PVT LTD," C/O PEPSICO,  INDUSTRIAL ESTATE PHASE-II",MULTAN,01-JUL-19,A
134,BOA03937, 000,ECDON INTERNATIONAL,CHINA CHOWK INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-25,A
135,BOA03524, 000,ECO PEST SOLUTIONS,"PLOT#9, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUL-17,A
136,BOA00372, 000,EHSAN ELAHI INDUSTRIES (PVT) LTD,70-a gulghast,MULTAN,22-NOV-89,A
137,BOA00922, 000,ELLAHI BUX & SONS,C/O SHELL DEPTT SHER SHAH ,MULTAN,01-JAN-04,A
138,BOA00730, 000,ELLAHI FABRICS,4-A/3 INDUSTRIAL ESTATE ,MULTAN,17-DEC-02,A
139,BOA01531, 000,EUROPAK FOUDRY ,25-A-III INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUN-10,A
140,BOA02702, 000,EVENTIS MULTAN,"COCA COLA PLANT, INDUSTRIAL ESTATE , PHASE -II",MULTAN,01-JUN-17,A
141,BOA03291, 000,EXCEL CROP CARE,PLOT NO. 229 INNDUSTRIAL ESTATE PHASE II ,MULTAN,01-MAY-20,A
142,BOA00426, 000,EXCELLENT WOOLEN WEAVING,24 A INDUSTRIAL EST MULTAN ,MULTAN,01-JAN-91,A
143,BOA01050, 000,EXIN CHEMICALS CORPORATION,33-B INDUSTRIAL ESTATE ,MULTAN,01-JUL-08,A
144,BOA01045, 000,FALCON HOUSE GRAMMAR SCHOOL,146-CB TAUNSA ROAD GARDEN TOWN ,MULTAN,01-JUL-08,A
145,BOA02081, 000,FAMOUS PACKAGES,NADRABAD PHATAK SHERSHAH ROAD MULTAN,MULTAN,01-AUG-13,A
146,BOA03757, 000,FARM EVO ENTERPRISES,"PLOT # 313, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JAN-24,A
147,BOA00558, 000,FARMERS EQUITY PVT LTD,INDUSTRIAL ESTATE -------------------- -------------------- --------------------,MULTAN,01-MAY-95,A
148,BOA03552, 000,FAST TRACK CONSTRUCTION (PVT) LTD,"57-U, DHA PHASE 2, LAHORE (C/O NORTHENABAD PHATAK, MULTAN)",MULTAN,01-JUL-22,A
149,BOA00295, 000,FAUJI FOUNDATION COTTAGE IND TRAINING CENTER,gARDEN TOWN TAUNSA ROAD,MULTAN,01-OCT-85,A
150,BOA00488, 000,FAUJI FOUNDATION MODEL SCHOOL,H 1505 KHALID HAFEEZ KHAN STREET GARDEN TOWN SHER SHAH ROAD,MULTAN,07-JAN-93,A
151,BOA03235, 000,FAUJI FOUNDATION ZONAL OFFICE EDUCATION ,"HOUSE NO.93, NEAR REHMAN MASJID, GARDEN TOWN, SHER SHAH ROAD",MULTAN,22-AUG-19,A
152,BBA00782,BO013,FAUJI SECURITY SERVICES (PVT) LIMITED,CB-288 Al-Rehman Street near mgm super store garden town sher shah road multan,MULTAN,01-APR-15,A
153,BOA03638, 000,FAV FOODS,"PLOT#115-116, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JAN-23,A
154,BOA01972, 000,FINE PLASTICIZERS (pvt) ltd,52 PHASE 2 INDUSTRIAL ESTATE MULTAN,MULTAN,01-OCT-12,A
155,BOA01039, 000,FIT FRESHLY FOODS PVT LTD EX FAMOUS MINTA FOOD PVT,22-A-II INDUSTRIAL ESTATE ,MULTAN,02-JUL-07,A
156,BIB00325,BO010,FMC UNITED PVT LTD,21 A GULGASHT COLONY MULTAN ,MULTAN,01-JAN-95,A
157,BOA03717, 000,FOOD BASTI INDUSTRIES MULTAN,"PLOT#67, INDUSTRIAL PHASE 1",MULTAN,01-JUL-23,A
158,POA00002, 000,FOODS AND FEEDS,22-A-4 INDUSTRIAL ESTATE ,MULTAN,17-SEP-02,A
159,BOA00812, 000,FORT FILLING STATION,FORT COLONY SHER SHAH ROAD ,MULTAN,21-DEC-02,A
160,BOA00812,BO001,FORT II FILLING STATION(PSO),KAYAN PUR CHOWK OLD SHUJABAD ROAD,MULTAN,01-FEB-15,A
161,BIA03450,BO003,FOUR BROTHERS AGRI SERVICES (EX FOUR BROTHERS),344-AL QURESH housing colony SHER SHAH ROAD multan,MULTAN,01-MAY-09,A
162,BIA05277,BO001,FOUR BROTHERS BIOLOGICAL AG,344 AL QURESH SHER SHAH ROAD,MULTAN,01-JUL-18,A
163,AAE01322,BO006,FULCRUM PVT LTD,2-B-1 INDUSTRIAL ESTATE MULTAN,MULTAN,01-MAY-08,A
164,BOA02033, 000,FUTURE CHEMICAL ,PLOT # 48 PHASE II INDUSTRIAL ESTATE MULTAN,MULTAN,15-FEB-13,A
165,BIA02566,BO025,GAM CORP PVT LTD,SHER SHAH ROAD CHAMAN ZAR-E- ASKARI,MULTAN,30-JUN-16,A
166,BOA03759, 000,GEO CHEMICALS CORPORATION,"PLOT # 313, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JAN-24,A
167,BOA01174, 000,GHAZI BROTHERS,111 A B INDUSIAL ESTATE,MULTAN,01-FEB-10,A
168,BOA03526, 000,GHOUSIA BRIKS CO,MOUZA THATHI LAL UC-ALAM GEE NEAR INDUSTRIAL ESTATE PHASE II,MULTAN,01-JUL-21,A
169,BOA03210, 000,GONAL INTERNATIONAL,"PLOT#117, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JUL-16,A
170,BOA02567, 000,GOURMET BAKERS AND SWEETS,GARDEN TOWN,MULTAN,01-NOV-16,A
171,BOA03756, 000,GRACE ENTERPRISES,"PLOT # 319, 320, INDUSTRIAL ESTATE PHASE II",MULTAN,01-JAN-24,A
172,BOA03807, 000,GRAFFITI ADVERTISING,"PLOT #257, INDUSTRIAL ESTATE PHASE II",MULTAN,01-NOV-22,A
173,BOA02070, 000,GREEN MAX PVT LTD,PLOT 85 86 INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-12,A
174,BOA01813, 000,GREEN REVOLUTION (PVT)LTD,4-C-1 INDUSTRIAL ESTATE MULTAN,MULTAN,01-JAN-12,A
175,BOA02844, 000,GREENLET INTERNATIONAL,8-B INDUSTRIAL ESTATE PHASE-I,MULTAN,01-APR-18,A
176,BOA03770, 000,GROWTH AGRO CHEMICALS,"PLOT # 349, INDUSTRIAL ESTATE PHASE II",MULTAN,01-APR-24,A
177,BOA02840, 000,GUL E SULEMANI (BURAQ AGRO CHEMICALS),"PLOT#339, PHASE-II INDUSTRIAL ESTATE ",MULTAN,01-JAN-18,A
178,BOA02471, 000,H N SCIENCE SCHOOL,MAIN TAUNSA ROAD GARDEN TOWN,MULTAN,01-JAN-15,A
179,BOA02805, 000,H N SCIENCE SCHOOL 2,MAIN TAUNSA STREET GARDEN TOWN,MULTAN,06-MAR-18,A
180,BOA03019, 000,H R PACKAGES,NEAR GOVT CLUSTER HOME RAHAT INDUSTRIAL ESTATE PHASE I,MULTAN,01-JAN-18,A
181,AAA00186,BO002,HABIB OIL MILLS LTD,PLOT NO 2-A ROOMI COTON FACTORY INDUSTRIAL ESTATE MULTAN,MULTAN,01-JUL-08,A
182,BOA03383, 000,HAMQADAM CROP SCIENCES,HAMID PUR ROAD OLD INDUSTRIAL ESTATE ROAD ,MULTAN,01-JAN-21,A
183,BOA03034, 000,HANAN MANAN & COMPANY,204 DEFENCE VIEW HOUSING SCHEME SHER SHAH ROAD,MULTAN,01-JUL-18,A
184,BOA02572, 000,HASSAM PAPER INDUSTRIES,"PLOT#346, INDUSTRIAL ESTATE, PHASE II",MULTAN,01-NOV-15,A
185,BOA03155, 000,HASSAN CORPORATION,SARDAR DA DERA INDUSTRIAL ESTATE PHASE II,MULTAN,01-JAN-20,A
186,BOA03361, 000,HASSAN NAWAZ FRUIT JUICES PVT LTD,YASEEN INDSUTRY HAMID PUR ROAD INDUSTRIAL ESTATE ,MULTAN,01-JAN-22,A
187,BOA02340, 000,HAVEN GROUP,41-C PHASE-I INDUSTRIAL ESTATE,MULTAN,01-JUL-14,A
188,BOA03402, 000,HBK TEXTILES (PVT) LTD,"PLOT NO.6-7 INDUSTRIAL ESTATE PHASE II, MULTAN",MULTAN,01-JAN-22,A
