Sr.No,Main Code,Sub Code,Name of Establishment,Address,City,Date of Applicability of Act,Beat
2884,BOA03374,BO001,S.F FOOD (UNIT-2),17 KASSI NEHAR VEHARI ROAD MULTAN,MULTAN,01-JAN-25,F
2885,BOA03374, 000,S.F FOODS,"NEAR CRICKET STADIUM, VEHARI ROAD",MULTAN,01-FEB-22,F
2886,BOA03933, 000,SAAD OIL MILLS,ADDA GULZARPUR OLD DUNYAPUR ROAD MULTAN,MULTAN,01-JUL-25,F
2887,BOA01149, 000,SABRI CNG,2-KM BAHAWALPUR ROAD,MULTAN,01-OCT-09,F
2888,BOA01585, 000,SADEEQ PUBLIC SCHOOL,44-S NEW MULTAN,MULTAN,01-JUL-10,F
2889,BOA00745, 000,SADIQ TEXTILE MILLS PVT LTD,24-KM VEHARI ROAD ,MULTAN,15-JAN-03,F
2890,BOA03869, 000,SAFETY & SECURITY SERVICES (PVT) LTD,"SUPER PLAZA H-II 42/T-1, BML BANK CHOWK KUMAHRAN WALA ",MULTAN,01-JAN-25,F
2891,BOA01521, 000,SAFETY & SECURITY SERVICES PVT LTD,FLAT NO.1 HOUSE 42-D SUPER PLAZA CHOWK QAZAFI,MULTAN,20-JAN-11,F
2892,BOA02989, 000,SAIM MOBEEN FOOD INDUSTRIES LIMITED,4-km Bahawal Pur Road near yaqoob soap factory nasirabad multan pakistan,MULTAN,01-OCT-18,F
2893,BOA00953, 000,SAIM MOBEEN FOOD INDUSTRIES LIMITED UNIT NO II,"OPPOSITE AL HILAL INDUSTRIES, VEHARI ROAD, MULTAN.",MULTAN,28-JUN-03,F
2894,BOA03222, 000,SAJID SUPER STORE,"48 - B - BLOCK, SHAH RUKN-E-ALAM COLONY,",MULTAN,01-NOV-18,F
2895,BOA03056, 000,SALEEM & SONS SERVICES,"NEAR GOVT. SCHOOL, 17 KASSI, BODHLA ROAD",MULTAN,19-JUL-19,F
2896,BOA03162, 000,SALEEM BROTHER (PIPE FACTORY),17 KASSI BODHLA ROAD MULTAN,MUNKIRA,01-JAN-20,F
2897,BOA02142, 000,SALEEM DAAL FACTORY,18 KASSI VEHARI ROAD MULTAN,MULTAN,01-JUL-13,F
2898,BOA03077, 000,SALEEM PACKAGES,ADDA MUNIRABAD BAHAWALPUR ROAD MULTAN,MULTAN,01-OCT-19,F
2899,BOA00140, 000,SALEEM SOAP FACTORY,BAHAWALPUR ROAD MULTAN,MULTAN,22-JUL-76,F
2900,BOA01422, 000,SALEEMI FILLING STATION,VEHARI CHOWK MULTAN,MULTAN,01-JUL-08,F
